primary_type,unarrested,arrested
THEFT,197315,20665
BATTERY,135594,34656
CRIMINAL DAMAGE,98515,5596
DECEPTIVE PRACTICE,71082,3043
ASSAULT,55064,11983
OTHER OFFENSE,47829,12686
NARCOTICS,159,52251
MOTOR VEHICLE THEFT,45103,3251
BURGLARY,41971,2267
ROBBERY,35303,2980
CRIMINAL TRESPASS,9244,12444
WEAPONS VIOLATION,4710,11589
OFFENSE INVOLVING CHILDREN,8097,1472
PUBLIC PEACE VIOLATION,1765,4029
CRIM SEXUAL ASSAULT,4188,495
SEX OFFENSE,3785,735
INTERFERENCE WITH PUBLIC OFFICER,200,3316
PROSTITUTION,2,2741
CRIMINAL SEXUAL ASSAULT,1654,140
ARSON,1526,166
LIQUOR LAW VIOLATION,6,825
STALKING,747,75
GAMBLING,0,728
KIDNAPPING,594,48
INTIMIDATION,507,55
CONCEALED CARRY LICENSE VIOLATION,11,240
OBSCENITY,66,176
HOMICIDE,73,53
NON-CRIMINAL,97,6
HUMAN TRAFFICKING,37,7
PUBLIC INDECENCY,0,35
OTHER NARCOTIC VIOLATION,11,13
NON - CRIMINAL,17,6
NON-CRIMINAL (SUBJECT SPECIFIED),2,1
