date,value
1/1/10,136
1/2/10,15
1/3/10,15
1/4/10,9
1/5/10,16
1/6/10,7
1/7/10,15
1/8/10,21
1/9/10,13
1/10/10,12
1/11/10,8
1/12/10,10
1/13/10,15
1/14/10,18
1/15/10,19
1/16/10,14
1/17/10,13
1/18/10,14
1/19/10,18
1/20/10,20
1/21/10,9
1/22/10,8
1/23/10,11
1/24/10,12
1/25/10,16
1/26/10,10
1/27/10,11
1/28/10,10
1/29/10,7
1/30/10,15
1/31/10,11
2/1/10,23
2/2/10,12
2/3/10,15
2/4/10,16
2/5/10,16
2/6/10,13
2/7/10,6
2/8/10,10
2/9/10,11
2/10/10,15
2/11/10,5
2/12/10,15
2/13/10,22
2/14/10,9
2/15/10,10
2/16/10,11
2/17/10,10
2/18/10,11
2/19/10,14
2/20/10,7
2/21/10,11
2/22/10,8
2/23/10,11
2/24/10,12
2/25/10,14
2/26/10,10
2/27/10,15
2/28/10,9
3/1/10,23
3/2/10,14
3/3/10,13
3/4/10,10
3/5/10,14
3/6/10,14
3/7/10,8
3/8/10,9
3/9/10,11
3/10/10,14
3/11/10,17
3/12/10,7
3/13/10,11
3/14/10,13
3/15/10,15
3/16/10,11
3/17/10,10
3/18/10,14
3/19/10,11
3/20/10,13
3/21/10,20
3/22/10,13
3/23/10,15
3/24/10,7
3/25/10,11
3/26/10,18
3/27/10,10
3/28/10,9
3/29/10,15
3/30/10,18
3/31/10,6
4/1/10,27
4/2/10,17
4/3/10,10
4/4/10,12
4/5/10,17
4/6/10,17
4/7/10,7
4/8/10,12
4/9/10,15
4/10/10,13
4/11/10,14
4/12/10,17
4/13/10,10
4/14/10,13
4/15/10,20
4/16/10,15
4/17/10,13
4/18/10,7
4/19/10,10
4/20/10,13
4/21/10,13
4/22/10,18
4/23/10,6
4/24/10,13
4/25/10,10
4/26/10,14
4/27/10,25
4/28/10,16
4/29/10,11
4/30/10,10
5/1/10,26
5/2/10,9
5/3/10,19
5/4/10,24
5/5/10,21
5/6/10,8
5/7/10,12
5/8/10,17
5/9/10,16
5/10/10,13
5/11/10,16
5/12/10,22
5/13/10,12
5/14/10,14
5/15/10,20
5/16/10,14
5/17/10,19
5/18/10,11
5/19/10,9
5/20/10,10
5/21/10,17
5/22/10,14
5/23/10,17
5/24/10,12
5/25/10,18
5/26/10,15
5/27/10,13
5/28/10,17
5/29/10,16
5/30/10,9
5/31/10,13
6/1/10,34
6/2/10,20
6/3/10,16
6/4/10,18
6/5/10,10
6/6/10,11
6/7/10,11
6/8/10,16
6/9/10,19
6/10/10,14
6/11/10,9
6/12/10,13
6/13/10,5
6/14/10,16
6/15/10,15
6/16/10,9
6/17/10,9
6/18/10,16
6/19/10,13
6/20/10,13
6/21/10,17
6/22/10,15
6/23/10,16
6/24/10,9
6/25/10,7
6/26/10,16
6/27/10,21
6/28/10,14
6/29/10,20
6/30/10,11
7/1/10,29
7/2/10,19
7/3/10,11
7/4/10,17
7/5/10,14
7/6/10,15
7/7/10,21
7/8/10,12
7/9/10,11
7/10/10,15
7/11/10,16
7/12/10,16
7/13/10,14
7/14/10,10
7/15/10,18
7/16/10,18
7/17/10,17
7/18/10,12
7/19/10,14
7/20/10,14
7/21/10,13
7/22/10,17
7/23/10,13
7/24/10,8
7/25/10,14
7/26/10,14
7/27/10,12
7/28/10,16
7/29/10,14
7/30/10,18
7/31/10,13
8/1/10,29
8/2/10,14
8/3/10,19
8/4/10,10
8/5/10,17
8/6/10,20
8/7/10,11
8/8/10,10
8/9/10,24
8/10/10,13
8/11/10,15
8/12/10,14
8/13/10,10
8/14/10,16
8/15/10,13
8/16/10,13
8/17/10,18
8/18/10,21
8/19/10,19
8/20/10,19
8/21/10,16
8/22/10,10
8/23/10,19
8/24/10,14
8/25/10,15
8/26/10,20
8/27/10,17
8/28/10,10
8/29/10,18
8/30/10,16
8/31/10,15
9/1/10,27
9/2/10,13
9/3/10,11
9/4/10,14
9/5/10,18
9/6/10,13
9/7/10,16
9/8/10,13
9/9/10,22
9/10/10,12
9/11/10,17
9/12/10,15
9/13/10,11
9/14/10,7
9/15/10,14
9/16/10,23
9/17/10,17
9/18/10,22
9/19/10,12
9/20/10,17
9/21/10,22
9/22/10,24
9/23/10,10
9/24/10,15
9/25/10,14
9/26/10,18
9/27/10,18
9/28/10,11
9/29/10,20
9/30/10,13
10/1/10,25
10/2/10,10
10/3/10,11
10/4/10,10
10/5/10,14
10/6/10,16
10/7/10,21
10/8/10,21
10/9/10,21
10/10/10,6
10/11/10,9
10/12/10,13
10/13/10,16
10/14/10,14
10/15/10,16
10/16/10,15
10/17/10,15
10/18/10,15
10/19/10,17
10/20/10,12
10/21/10,17
10/22/10,20
10/23/10,14
10/24/10,16
10/25/10,13
10/26/10,13
10/27/10,6
10/28/10,10
10/29/10,13
10/30/10,19
10/31/10,13
11/1/10,29
11/2/10,16
11/3/10,17
11/4/10,11
11/5/10,15
11/6/10,12
11/7/10,16
11/8/10,13
11/9/10,17
11/10/10,10
11/11/10,9
11/12/10,17
11/13/10,12
11/14/10,10
11/15/10,12
11/16/10,13
11/17/10,16
11/18/10,10
11/19/10,12
11/20/10,15
11/21/10,12
11/22/10,14
11/23/10,12
11/24/10,17
11/25/10,11
11/26/10,10
11/27/10,15
11/28/10,7
11/29/10,17
11/30/10,9
12/1/10,16
12/2/10,11
12/3/10,11
12/4/10,10
12/5/10,10
12/6/10,8
12/7/10,12
12/8/10,9
12/9/10,12
12/10/10,12
12/11/10,7
12/12/10,12
12/13/10,10
12/14/10,8
12/15/10,11
12/16/10,15
12/17/10,14
12/18/10,10
12/19/10,11
12/20/10,13
12/21/10,9
12/22/10,14
12/23/10,19
12/24/10,9
12/25/10,7
12/26/10,6
12/27/10,11
12/28/10,10
12/29/10,12
12/30/10,8
12/31/10,13
1/1/11,123
1/2/11,10
1/3/11,13
1/4/11,13
1/5/11,13
1/6/11,14
1/7/11,14
1/8/11,7
1/9/11,9
1/10/11,8
1/11/11,12
1/12/11,9
1/13/11,9
1/14/11,19
1/15/11,11
1/16/11,6
1/17/11,8
1/18/11,10
1/19/11,16
1/20/11,15
1/21/11,10
1/22/11,7
1/23/11,15
1/24/11,7
1/25/11,11
1/26/11,9
1/27/11,12
1/28/11,12
1/29/11,6
1/30/11,7
1/31/11,10
2/1/11,22
2/2/11,2
2/3/11,7
2/4/11,17
2/5/11,9
2/6/11,12
2/7/11,11
2/8/11,10
2/9/11,9
2/10/11,14
2/11/11,13
2/12/11,11
2/13/11,13
2/14/11,10
2/15/11,13
2/16/11,16
2/17/11,7
2/18/11,19
2/19/11,11
2/20/11,7
2/21/11,8
2/22/11,15
2/23/11,15
2/24/11,10
2/25/11,12
2/26/11,5
2/27/11,5
2/28/11,16
3/1/11,24
3/2/11,13
3/3/11,15
3/4/11,13
3/5/11,12
3/6/11,10
3/7/11,6
3/8/11,14
3/9/11,11
3/10/11,19
3/11/11,12
3/12/11,11
3/13/11,5
3/14/11,12
3/15/11,16
3/16/11,16
3/17/11,15
3/18/11,13
3/19/11,18
3/20/11,13
3/21/11,12
3/22/11,20
3/23/11,14
3/24/11,11
3/25/11,17
3/26/11,6
3/27/11,10
3/28/11,17
3/29/11,8
3/30/11,8
3/31/11,12
4/1/11,31
4/2/11,12
4/3/11,10
4/4/11,19
4/5/11,15
4/6/11,7
4/7/11,11
4/8/11,16
4/9/11,10
4/10/11,17
4/11/11,21
4/12/11,21
4/13/11,12
4/14/11,11
4/15/11,16
4/16/11,11
4/17/11,11
4/18/11,12
4/19/11,11
4/20/11,13
4/21/11,15
4/22/11,10
4/23/11,12
4/24/11,11
4/25/11,12
4/26/11,13
4/27/11,8
4/28/11,11
4/29/11,16
4/30/11,14
5/1/11,38
5/2/11,14
5/3/11,17
5/4/11,17
5/5/11,16
5/6/11,17
5/7/11,12
5/8/11,20
5/9/11,22
5/10/11,8
5/11/11,11
5/12/11,16
5/13/11,16
5/14/11,9
5/15/11,10
5/16/11,16
5/17/11,9
5/18/11,16
5/19/11,20
5/20/11,23
5/21/11,12
5/22/11,5
5/23/11,12
5/24/11,10
5/25/11,17
5/26/11,14
5/27/11,12
5/28/11,10
5/29/11,13
5/30/11,13
5/31/11,13
6/1/11,40
6/2/11,16
6/3/11,19
6/4/11,17
6/5/11,15
6/6/11,15
6/7/11,14
6/8/11,20
6/9/11,11
6/10/11,16
6/11/11,15
6/12/11,12
6/13/11,17
6/14/11,12
6/15/11,16
6/16/11,8
6/17/11,18
6/18/11,16
6/19/11,17
6/20/11,16
6/21/11,16
6/22/11,14
6/23/11,10
6/24/11,16
6/25/11,17
6/26/11,5
6/27/11,9
6/28/11,13
6/29/11,8
6/30/11,12
7/1/11,19
7/2/11,16
7/3/11,6
7/4/11,16
7/5/11,14
7/6/11,9
7/7/11,16
7/8/11,17
7/9/11,13
7/10/11,16
7/11/11,18
7/12/11,23
7/13/11,15
7/14/11,8
7/15/11,19
7/16/11,16
7/17/11,15
7/18/11,10
7/19/11,21
7/20/11,14
7/21/11,11
7/22/11,16
7/23/11,13
7/24/11,10
7/25/11,8
7/26/11,17
7/27/11,14
7/28/11,17
7/29/11,18
7/30/11,17
7/31/11,11
8/1/11,20
8/2/11,12
8/3/11,19
8/4/11,15
8/5/11,14
8/6/11,13
8/7/11,4
8/8/11,15
8/9/11,16
8/10/11,17
8/11/11,9
8/12/11,13
8/13/11,18
8/14/11,12
8/15/11,14
8/16/11,15
8/17/11,15
8/18/11,11
8/19/11,13
8/20/11,28
8/21/11,18
8/22/11,11
8/23/11,13
8/24/11,12
8/25/11,11
8/26/11,12
8/27/11,11
8/28/11,16
8/29/11,10
8/30/11,11
8/31/11,6
9/1/11,38
9/2/11,19
9/3/11,12
9/4/11,17
9/5/11,18
9/6/11,18
9/7/11,11
9/8/11,13
9/9/11,15
9/10/11,14
9/11/11,11
9/12/11,12
9/13/11,10
9/14/11,15
9/15/11,19
9/16/11,14
9/17/11,18
9/18/11,13
9/19/11,12
9/20/11,11
9/21/11,21
9/22/11,20
9/23/11,10
9/24/11,13
9/25/11,13
9/26/11,14
9/27/11,7
9/28/11,12
9/29/11,11
9/30/11,24
10/1/11,32
10/2/11,11
10/3/11,11
10/4/11,10
10/5/11,17
10/6/11,15
10/7/11,14
10/8/11,12
10/9/11,14
10/10/11,11
10/11/11,17
10/12/11,17
10/13/11,9
10/14/11,15
10/15/11,13
10/16/11,17
10/17/11,13
10/18/11,10
10/19/11,14
10/20/11,14
10/21/11,19
10/22/11,8
10/23/11,10
10/24/11,11
10/25/11,14
10/26/11,10
10/27/11,15
10/28/11,10
10/29/11,11
10/30/11,15
10/31/11,12
11/1/11,35
11/2/11,5
11/3/11,15
11/4/11,12
11/5/11,5
11/6/11,11
11/7/11,14
11/8/11,7
11/9/11,16
11/10/11,11
11/11/11,15
11/12/11,9
11/13/11,17
11/14/11,13
11/15/11,18
11/16/11,10
11/17/11,16
11/18/11,18
11/19/11,9
11/20/11,17
11/21/11,11
11/22/11,9
11/23/11,21
11/24/11,9
11/25/11,9
11/26/11,14
11/27/11,18
11/28/11,10
11/29/11,12
11/30/11,9
12/1/11,25
12/2/11,12
12/3/11,10
12/4/11,7
12/5/11,17
12/6/11,14
12/7/11,11
12/8/11,10
12/9/11,11
12/10/11,9
12/11/11,11
12/12/11,13
12/13/11,19
12/14/11,14
12/15/11,14
12/16/11,14
12/17/11,7
12/18/11,9
12/19/11,12
12/20/11,13
12/21/11,7
12/22/11,8
12/23/11,6
12/24/11,7
12/25/11,8
12/26/11,8
12/27/11,15
12/28/11,8
12/29/11,8
12/30/11,10
12/31/11,9
1/1/12,173
1/2/12,12
1/3/12,9
1/4/12,10
1/5/12,13
1/6/12,11
1/7/12,20
1/8/12,14
1/9/12,10
1/10/12,16
1/11/12,11
1/12/12,14
1/13/12,8
1/14/12,10
1/15/12,13
1/16/12,12
1/17/12,12
1/18/12,9
1/19/12,5
1/20/12,9
1/21/12,12
1/22/12,5
1/23/12,6
1/24/12,10
1/25/12,10
1/26/12,9
1/27/12,15
1/28/12,10
1/29/12,15
1/30/12,7
1/31/12,10
2/1/12,33
2/2/12,10
2/3/12,12
2/4/12,11
2/5/12,13
2/6/12,14
2/7/12,13
2/8/12,19
2/9/12,7
2/10/12,9
2/11/12,6
2/12/12,15
2/13/12,9
2/14/12,11
2/15/12,11
2/16/12,18
2/17/12,17
2/18/12,10
2/19/12,7
2/20/12,7
2/21/12,13
2/22/12,9
2/23/12,6
2/24/12,11
2/25/12,13
2/26/12,19
2/27/12,11
2/28/12,18
2/29/12,16
3/1/12,41
3/2/12,15
3/3/12,15
3/4/12,20
3/5/12,6
3/6/12,12
3/7/12,24
3/8/12,11
3/9/12,12
3/10/12,15
3/11/12,14
3/12/12,13
3/13/12,20
3/14/12,13
3/15/12,14
3/16/12,19
3/17/12,12
3/18/12,11
3/19/12,12
3/20/12,14
3/21/12,15
3/22/12,13
3/23/12,11
3/24/12,12
3/25/12,12
3/26/12,12
3/27/12,8
3/28/12,10
3/29/12,11
3/30/12,10
3/31/12,14
4/1/12,25
4/2/12,10
4/3/12,4
4/4/12,5
4/5/12,12
4/6/12,17
4/7/12,16
4/8/12,5
4/9/12,12
4/10/12,12
4/11/12,13
4/12/12,13
4/13/12,13
4/14/12,17
4/15/12,18
4/16/12,14
4/17/12,11
4/18/12,11
4/19/12,10
4/20/12,19
4/21/12,6
4/22/12,10
4/23/12,11
4/24/12,14
4/25/12,13
4/26/12,12
4/27/12,13
4/28/12,11
4/29/12,18
4/30/12,8
5/1/12,45
5/2/12,13
5/3/12,5
5/4/12,16
5/5/12,16
5/6/12,13
5/7/12,16
5/8/12,10
5/9/12,12
5/10/12,14
5/11/12,15
5/12/12,15
5/13/12,8
5/14/12,11
5/15/12,16
5/16/12,13
5/17/12,14
5/18/12,8
5/19/12,13
5/20/12,9
5/21/12,14
5/22/12,7
5/23/12,11
5/24/12,10
5/25/12,18
5/26/12,10
5/27/12,10
5/28/12,11
5/29/12,9
5/30/12,12
5/31/12,13
6/1/12,45
6/2/12,12
6/3/12,11
6/4/12,15
6/5/12,9
6/6/12,18
6/7/12,20
6/8/12,11
6/9/12,14
6/10/12,17
6/11/12,16
6/12/12,19
6/13/12,10
6/14/12,13
6/15/12,14
6/16/12,19
6/17/12,9
6/18/12,11
6/19/12,12
6/20/12,21
6/21/12,12
6/22/12,11
6/23/12,18
6/24/12,9
6/25/12,9
6/26/12,13
6/27/12,12
6/28/12,19
6/29/12,14
6/30/12,10
7/1/12,29
7/2/12,14
7/3/12,18
7/4/12,16
7/5/12,9
7/6/12,16
7/7/12,15
7/8/12,18
7/9/12,7
7/10/12,13
7/11/12,20
7/12/12,21
7/13/12,6
7/14/12,14
7/15/12,16
7/16/12,14
7/17/12,15
7/18/12,13
7/19/12,6
7/20/12,13
7/21/12,12
7/22/12,18
7/23/12,18
7/24/12,15
7/25/12,22
7/26/12,11
7/27/12,11
7/28/12,6
7/29/12,16
7/30/12,10
7/31/12,10
8/1/12,38
8/2/12,18
8/3/12,12
8/4/12,5
8/5/12,13
8/6/12,14
8/7/12,9
8/8/12,12
8/9/12,16
8/10/12,18
8/11/12,14
8/12/12,13
8/13/12,14
8/14/12,17
8/15/12,11
8/16/12,10
8/17/12,9
8/18/12,13
8/19/12,15
8/20/12,12
8/21/12,10
8/22/12,10
8/23/12,14
8/24/12,17
8/25/12,20
8/26/12,11
8/27/12,15
8/28/12,5
8/29/12,12
8/30/12,16
8/31/12,19
9/1/12,44
9/2/12,10
9/3/12,3
9/4/12,17
9/5/12,15
9/6/12,11
9/7/12,6
9/8/12,11
9/9/12,13
9/10/12,19
9/11/12,11
9/12/12,12
9/13/12,10
9/14/12,23
9/15/12,11
9/16/12,17
9/17/12,14
9/18/12,14
9/19/12,7
9/20/12,11
9/21/12,11
9/22/12,10
9/23/12,10
9/24/12,4
9/25/12,11
9/26/12,7
9/27/12,8
9/28/12,16
9/29/12,14
9/30/12,8
10/1/12,30
10/2/12,15
10/3/12,14
10/4/12,12
10/5/12,9
10/6/12,9
10/7/12,12
10/8/12,9
10/9/12,15
10/10/12,11
10/11/12,9
10/12/12,12
10/13/12,10
10/14/12,10
10/15/12,18
10/16/12,16
10/17/12,13
10/18/12,18
10/19/12,13
10/20/12,18
10/21/12,22
10/22/12,11
10/23/12,13
10/24/12,18
10/25/12,10
10/26/12,17
10/27/12,9
10/28/12,8
10/29/12,16
10/30/12,16
10/31/12,8
11/1/12,39
11/2/12,13
11/3/12,17
11/4/12,9
11/5/12,16
11/6/12,11
11/7/12,9
11/8/12,12
11/9/12,14
11/10/12,9
11/11/12,13
11/12/12,8
11/13/12,19
11/14/12,11
11/15/12,18
11/16/12,13
11/17/12,9
11/18/12,6
11/19/12,9
11/20/12,12
11/21/12,18
11/22/12,9
11/23/12,13
11/24/12,17
11/25/12,9
11/26/12,11
11/27/12,15
11/28/12,12
11/29/12,15
11/30/12,11
12/1/12,31
12/2/12,14
12/3/12,13
12/4/12,12
12/5/12,16
12/6/12,15
12/7/12,11
12/8/12,16
12/9/12,7
12/10/12,17
12/11/12,13
12/12/12,17
12/13/12,11
12/14/12,17
12/15/12,13
12/16/12,9
12/17/12,16
12/18/12,12
12/19/12,16
12/20/12,10
12/21/12,12
12/22/12,9
12/23/12,3
12/24/12,6
12/25/12,6
12/26/12,6
12/27/12,11
12/28/12,12
12/29/12,16
12/30/12,6
12/31/12,14
1/1/13,230
1/2/13,13
1/3/13,14
1/4/13,15
1/5/13,17
1/6/13,11
1/7/13,8
1/8/13,14
1/9/13,13
1/10/13,15
1/11/13,17
1/12/13,8
1/13/13,12
1/14/13,10
1/15/13,8
1/16/13,12
1/17/13,14
1/18/13,9
1/19/13,12
1/20/13,12
1/21/13,5
1/22/13,10
1/23/13,6
