primary_type,date,value
ARSON,2010-01-07,1
ARSON,2010-02-05,1
ARSON,2010-04-25,1
ARSON,2010-06-11,1
ARSON,2010-10-05,1
ARSON,2011-02-28,1
ARSON,2011-04-21,1
ARSON,2011-05-08,1
ARSON,2011-05-11,1
ARSON,2011-05-12,1
ARSON,2011-07-25,1
ARSON,2011-08-10,1
ARSON,2011-08-26,1
ARSON,2011-09-01,1
ARSON,2011-09-06,1
ARSON,2011-11-19,1
ARSON,2011-12-10,1
ARSON,2012-01-31,1
ARSON,2012-03-04,1
ARSON,2012-05-12,1
ARSON,2012-12-21,1
ARSON,2013-03-08,1
ARSON,2013-03-14,1
ARSON,2013-05-17,1
ARSON,2013-05-19,1
ARSON,2013-05-20,1
ARSON,2013-07-08,1
ARSON,2013-12-11,1
ARSON,2014-01-11,1
ARSON,2014-01-24,1
ARSON,2014-03-21,1
ARSON,2014-05-02,1
ARSON,2014-05-12,1
ARSON,2014-05-26,1
ARSON,2014-07-11,1
ARSON,2014-09-12,1
ARSON,2014-12-30,1
ARSON,2015-03-16,1
ARSON,2015-03-18,3
ARSON,2015-03-19,3
ARSON,2015-03-21,3
ARSON,2015-03-23,1
ARSON,2015-03-24,1
ARSON,2015-03-26,1
ARSON,2015-03-27,1
ARSON,2015-03-28,4
ARSON,2015-03-31,1
ARSON,2015-04-01,2
ARSON,2015-04-02,2
ARSON,2015-04-03,1
ARSON,2015-04-04,2
ARSON,2015-04-05,2
ARSON,2015-04-06,2
ARSON,2015-04-08,1
ARSON,2015-04-09,2
ARSON,2015-04-12,2
ARSON,2015-04-13,2
ARSON,2015-04-15,2
ARSON,2015-04-17,1
ARSON,2015-04-18,3
ARSON,2015-04-19,1
ARSON,2015-04-20,4
ARSON,2015-04-21,1
ARSON,2015-04-22,1
ARSON,2015-04-23,1
ARSON,2015-04-24,2
ARSON,2015-04-28,4
ARSON,2015-04-29,3
ARSON,2015-04-30,1
ARSON,2015-05-01,2
ARSON,2015-05-02,2
ARSON,2015-05-04,4
ARSON,2015-05-06,1
ARSON,2015-05-07,1
ARSON,2015-05-08,1
ARSON,2015-05-10,1
ARSON,2015-05-12,3
ARSON,2015-05-16,1
ARSON,2015-05-17,3
ARSON,2015-05-18,3
ARSON,2015-05-19,2
ARSON,2015-05-20,2
ARSON,2015-05-22,3
